,yr,mo,dy,date,time,mag,slat,slon,radar,radar_dist,datetime,max_dbz,mean_dbz,max_zdr,mean_zdr,min_zdr,mean_cc,min_cc,count_30dbz,count_50dbz,count_60dbz,ratio_50_30,ratio_60_50,zdr_range,sig
278,2017,4,11,2017-04-11,02:28:00,1.0,32.83,-97.25,KFWS,30.30761206745676,2017-04-11 02:28:00,64.5,38.5,4.875,1.3,-1.9375,0.95,0.2083333283662796,2168,264,31,0.12171507607192254,0.1169811320754717,6.8125,0
279,2019,7,8,2019-07-08,16:36:00,1.0,44.0493,-103.2727,KUDX,36.88260810336398,2019-07-08 16:36:00,76.0,40.8,4.9375,1.9,-1.9375,0.93,0.2083333283662796,4907,844,126,0.1719641401792991,0.14911242603550295,6.875,0
280,2015,6,5,2015-06-05,20:50:00,1.25,43.0148,-108.774,KRIW,24.479046183964943,2015-06-05 20:50:00,68.0,40.6,4.9375,2.4,-1.9375,0.98,0.2083333283662796,2526,486,61,0.1923229125445192,0.12525667351129363,6.875,0
281,2014,5,27,2014-05-27,19:30:00,1.75,29.98,-97.82,KEWX,38.46473986926789,2014-05-27 19:30:00,66.5,40.8,4.875,1.3,-1.875,0.96,0.2083333283662796,3172,576,45,0.18153167349511504,0.0779896013864818,6.75,0
282,2020,4,24,2020-04-24,15:02:00,1.0,37.29,-77.33,KAKQ,45.20385898268248,2020-04-24 15:02:00,65.5,40.1,4.9375,1.5,-1.9375,0.99,0.4383333325386047,8298,1120,95,0.13495601879744548,0.0847457627118644,6.875,0
283,2016,7,27,2016-07-27,17:00:00,1.0,41.157,-104.4354,KCYS,30.664887350568304,2016-07-27 17:00:00,72.5,42.3,4.9375,2.5,-1.9375,0.97,0.2083333283662796,5383,1134,241,0.21062407132243685,0.21233480176211453,6.875,0
284,2015,5,8,2015-05-08,09:56:00,1.75,34.1733,-101.763,KLBB,59.25290513827901,2015-05-08 09:56:00,67.5,43.4,4.9375,1.0,-1.9375,0.97,0.2649999856948852,13646,3360,297,0.2462079577929215,0.08836655757215114,6.875,0
285,2017,6,11,2017-06-11,08:00:00,1.75,45.17,-93.06,KMPX,55.17846369548808,2017-06-11 08:00:00,70.5,43.4,4.9375,1.7,-1.9375,0.97,0.2083333283662796,21117,4770,653,0.22587366227862488,0.13686858101027038,6.875,0
286,2014,10,1,2014-10-01,20:00:00,1.0,37.63,-99.49,KDDC,44.72490296289619,2014-10-01 20:00:00,66.5,41.3,4.9375,1.9,-1.9375,0.94,0.2083333283662796,3156,702,83,0.22236300285080773,0.11806543385490754,6.875,0
287,2015,6,16,2015-06-16,18:20:00,1.0,42.22,-100.91,KLNX,42.497366170636994,2015-06-16 18:20:00,67.0,46.0,4.9375,2.1,-1.8125,0.97,0.2583333253860473,6512,2442,219,0.37494242284661444,0.08964388047482603,6.75,0
288,2016,7,1,2016-07-01,14:25:00,1.5,39.38,-104.83,KFTG,50.50736059632053,2016-07-01 14:25:00,68.5,40.0,4.9375,1.7,-1.9375,0.97,0.2083333283662796,4333,583,101,0.13451776649746192,0.17294520547945205,6.875,0
289,2019,5,20,2019-05-20,15:31:00,1.0,33.98,-101.33,KLBB,57.58442763870685,2019-05-20 15:31:00,76.5,41.5,4.9375,1.7,-1.9375,0.95,0.2083333283662796,14327,2500,93,0.17448352875488554,0.03718512594962015,6.875,0
290,2018,7,20,2018-07-20,13:04:00,1.0,38.19,-85.57,KLVX,42.67922964375071,2018-07-20 13:04:00,63.0,42.6,4.9375,2.0,-1.9375,0.97,0.2083333283662796,13055,2125,10,0.16276041666666666,0.004703668861712135,6.875,0
291,2019,7,5,2019-07-05,20:16:00,1.25,38.68,-104.69,KPUX,51.47855642443334,2019-07-05 20:16:00,67.0,42.2,4.9375,1.8,-1.9375,0.97,0.2083333283662796,11636,2297,311,0.19738764286328092,0.13533507397737163,6.875,0
292,2018,8,14,2018-08-14,17:19:00,1.25,39.73,-105.2,KFTG,55.97969287116994,2018-08-14 17:19:00,75.0,42.1,4.9375,1.8,-1.9375,0.95,0.2083333283662796,4171,979,296,0.23465963566634707,0.3020408163265306,6.875,0
293,2018,5,1,2018-05-01,15:52:00,1.0,41.9,-93.92,KDMX,25.47495757333859,2018-05-01 15:52:00,66.5,42.2,4.9375,2.0,-1.9375,0.95,0.2083333283662796,9700,1892,96,0.19503144005772602,0.05071315372424723,6.875,0
294,2018,5,15,2018-05-15,12:30:00,1.0,41.75,-75.9,KBGM,49.21521236582007,2018-05-15 12:30:00,70.0,40.2,4.9375,1.5,-1.9375,0.98,0.2083333283662796,12691,1492,190,0.11755436495430192,0.12726054922973878,6.875,0
